fecha_xm,periodo,precio_cop_kwh
2023-08-09,7,503.04008
2023-08-09,8,503.04008
2023-08-09,9,518.04008
2023-08-09,10,582.04008
2023-08-09,11,633.04008
2023-08-09,12,718.04008
2023-08-09,13,693.04008
2023-08-09,14,718.04008
2023-08-09,15,718.04008
2023-08-09,16,723.04008
2023-08-09,17,723.04008
2023-08-09,18,718.04008
2023-08-09,19,733.04008
2023-08-09,20,743.04008
2023-08-09,21,733.04008
2023-08-09,22,723.04008
2023-08-09,23,582.04008
2023-08-09,24,513.04008
2023-08-10,1,577.52151
2023-08-10,2,525.52151
2023-08-10,3,525.52151
2023-08-10,4,525.52151
2023-08-10,5,605.52151
2023-08-10,6,634.52151
2023-08-10,7,634.52151
2023-08-10,8,714.53651
2023-08-10,9,714.53651
2023-08-10,10,714.53651
2023-08-10,11,714.53651
2023-08-10,12,714.53651
2023-08-10,13,714.53651
2023-08-10,14,714.53651
2023-08-10,15,724.52151
2023-08-10,16,724.52151
2023-08-10,17,723.52151
2023-08-10,18,714.53651
2023-08-10,19,723.52151
2023-08-10,20,744.52151
2023-08-10,21,723.52151
2023-08-10,22,714.53651
2023-08-10,23,714.53651
2023-08-10,24,605.52151
2023-08-11,1,747.59462
2023-08-11,2,744.89462
2023-08-11,3,744.89462
2023-08-11,4,744.89462
2023-08-11,5,747.59462
2023-08-11,6,724.59562
2023-08-11,7,724.59562
2023-08-11,8,724.59562
2023-08-11,9,744.89462
2023-08-11,10,747.59462
2023-08-11,11,754.59462
2023-08-11,12,747.59462
2023-08-11,13,744.89462
2023-08-11,14,747.59462
2023-08-11,15,754.59462
2023-08-11,16,747.59462
2023-08-11,17,744.89462
2023-08-11,18,724.59562
2023-08-11,19,754.59462
2023-08-11,20,794.09462
2023-08-11,21,744.89462
2023-08-11,22,747.59462
2023-08-11,23,724.59562
2023-08-11,24,724.59562
2023-08-12,1,759.34622
2023-08-12,2,713.34622
2023-08-12,3,713.34622
2023-08-12,4,632.34622
2023-08-12,5,632.34622
2023-08-12,6,713.34622
2023-08-12,7,713.34622
2023-08-12,8,713.34622
2023-08-12,9,802.34622
2023-08-12,10,759.34622
2023-08-12,11,802.34622
2023-08-12,12,807.34622
2023-08-12,13,807.34622
2023-08-12,14,802.34622
2023-08-12,15,802.34622
2023-08-12,16,802.34622
2023-08-12,17,797.34622
2023-08-12,18,797.34622
2023-08-12,19,817.34622
2023-08-12,20,817.34622
2023-08-12,21,817.34622
2023-08-12,22,817.34622
2023-08-12,23,797.34622
2023-08-12,24,722.34622
2023-08-13,1,685.77859
2023-08-13,2,635.77859
2023-08-13,3,575.77859
2023-08-13,4,575.77859
2023-08-13,5,575.77859
2023-08-13,6,575.77859
2023-08-13,7,575.77859
2023-08-13,8,575.77859
2023-08-13,9,575.77859
2023-08-13,10,575.77859
2023-08-13,11,635.77859
2023-08-13,12,645.80259
2023-08-13,13,725.77859
2023-08-13,14,685.77859
2023-08-13,15,685.77859
2023-08-13,16,645.80259
2023-08-13,17,645.80259
2023-08-13,18,645.80259
2023-08-13,19,774.77859
2023-08-13,20,805.77859
2023-08-13,21,806.77859
2023-08-13,22,806.77859
2023-08-13,23,774.77859
2023-08-13,24,685.77859
2023-08-14,1,251.7977
2023-08-14,2,249.4697
2023-08-14,3,237.7777
2023-08-14,4,237.7777
2023-08-14,5,237.7777
2023-08-14,6,433.0267
2023-08-14,7,636.7977
2023-08-14,8,731.8977
2023-08-14,9,731.8977
2023-08-14,10,731.8977
2023-08-14,11,806.7977
2023-08-14,12,806.7977
2023-08-14,13,806.7977
2023-08-14,14,806.7977
2023-08-14,15,806.7977
2023-08-14,16,806.7977
2023-08-14,17,806.7977
2023-08-14,18,731.8977
2023-08-14,19,806.7977
2023-08-14,20,807.7977
2023-08-14,21,807.7977
2023-08-14,22,806.7977
2023-08-14,23,731.8977
2023-08-14,24,731.8977
2023-08-15,1,726.02993
2023-08-15,2,722.77793
2023-08-15,3,722.77793
2023-08-15,4,656.12993
2023-08-15,5,656.12993
2023-08-15,6,726.02993
2023-08-15,7,722.77793
2023-08-15,8,726.02993
2023-08-15,9,726.02993
2023-08-15,10,726.02993
2023-08-15,11,726.02993
2023-08-15,12,727.12993
2023-08-15,13,727.12993
2023-08-15,14,727.12993
2023-08-15,15,807.12993
2023-08-15,16,807.12993
2023-08-15,17,807.12993
2023-08-15,18,727.12993
2023-08-15,19,806.12993
2023-08-15,20,807.12993
2023-08-15,21,807.12993
2023-08-15,22,806.12993
2023-08-15,23,726.02993
2023-08-15,24,726.02993
2023-08-16,1,434.66457
2023-08-16,2,434.66457
2023-08-16,3,415.99457
2023-08-16,4,292.27257
2023-08-16,5,292.27257
2023-08-16,6,728.43557
2023-08-16,7,728.43557
2023-08-16,8,738.43557
2023-08-16,9,767.53557
2023-08-16,10,767.53557
2023-08-16,11,767.53557
2023-08-16,12,767.53557
2023-08-16,13,767.53557
2023-08-16,14,767.53557
2023-08-16,15,767.53557
2023-08-16,16,767.53557
2023-08-16,17,767.53557
2023-08-16,18,767.53557
2023-08-16,19,813.43557
2023-08-16,20,814.43557
2023-08-16,21,814.43557
2023-08-16,22,767.53557
2023-08-16,23,767.53557
2023-08-16,24,712.68357
2023-08-17,1,291.08889
2023-08-17,2,431.58189
2023-08-17,3,236.33289
2023-08-17,4,219.33289
2023-08-17,5,236.33289
2023-08-17,6,735.35289
2023-08-17,7,735.35289
2023-08-17,8,805.34989
2023-08-17,9,805.34989
2023-08-17,10,805.34989
2023-08-17,11,805.34989
2023-08-17,12,805.34989
2023-08-17,13,805.34989
2023-08-17,14,805.34989
2023-08-17,15,805.34989
2023-08-17,16,815.35289
2023-08-17,17,820.35289
2023-08-17,18,820.35289
2023-08-17,19,830.35289
2023-08-17,20,830.35289
2023-08-17,21,820.35289
2023-08-17,22,815.35289
2023-08-17,23,805.34989
2023-08-17,24,805.34989
2023-08-18,1,763.45967
2023-08-18,2,793.45967
2023-08-18,3,769.02667
2023-08-18,4,246.13167
2023-08-18,5,411.01867
2023-08-18,6,763.45967
2023-08-18,7,709.13867
2023-08-18,8,763.45967
2023-08-18,9,793.45967
2023-08-18,10,803.45667
2023-08-18,11,803.45667
2023-08-18,12,803.45667
2023-08-18,13,803.45667
2023-08-18,14,803.45667
2023-08-18,15,803.45667
2023-08-18,16,803.45667
2023-08-18,17,803.45667
2023-08-18,18,803.45667
2023-08-18,19,803.45667
2023-08-18,20,818.45967
2023-08-18,21,803.45667
2023-08-18,22,803.45667
2023-08-18,23,803.45667
2023-08-18,24,793.45967
2023-08-19,1,712.62719
2023-08-19,2,712.62719
2023-08-19,3,712.62719
2023-08-19,4,425.50419
2023-08-19,5,425.50419
2023-08-19,6,429.35619
2023-08-19,7,712.62719
2023-08-19,8,712.62719
2023-08-19,9,712.62719
2023-08-19,10,712.62719
2023-08-19,11,712.62719
2023-08-19,12,768.12719
2023-08-19,13,768.12719
2023-08-19,14,712.62719
2023-08-19,15,712.62719
2023-08-19,16,712.62719
2023-08-19,17,712.62719
2023-08-19,18,712.62719
2023-08-19,19,768.12719
2023-08-19,20,833.12719
2023-08-19,21,712.62719
2023-08-19,22,712.62719
2023-08-19,23,712.62719
2023-08-19,24,712.62719
2023-08-20,1,353.76925
2023-08-20,2,353.76925
2023-08-20,3,353.76925
2023-08-20,4,353.76925
2023-08-20,5,353.76925
2023-08-20,6,353.76925
2023-08-20,7,353.76925
2023-08-20,8,353.76925
2023-08-20,9,353.76925
2023-08-20,10,353.76925
2023-08-20,11,353.76925
2023-08-20,12,353.76925
2023-08-20,13,353.76925
2023-08-20,14,353.76925
2023-08-20,15,353.76925
2023-08-20,16,353.76925
2023-08-20,17,353.76925
2023-08-20,18,353.76925
2023-08-20,19,798.76925
2023-08-20,20,823.76925
2023-08-20,21,823.76925
2023-08-20,22,768.76925
2023-08-20,23,353.76925
2023-08-20,24,353.76925
2023-08-21,1,326.35326
2023-08-21,2,326.35326
2023-08-21,3,326.35326
2023-08-21,4,326.35326
2023-08-21,5,326.35326
2023-08-21,6,326.35326
2023-08-21,7,326.35326
2023-08-21,8,326.35326
2023-08-21,9,326.35326
2023-08-21,10,346.35326
2023-08-21,11,346.35326
2023-08-21,12,428.73026
2023-08-21,13,556.35126
2023-08-21,14,556.35126
2023-08-21,15,478.35326
2023-08-21,16,556.35126
2023-08-21,17,346.35326
2023-08-21,18,346.35326
2023-08-21,19,556.35126
2023-08-21,20,709.35326
2023-08-21,21,709.35326
2023-08-21,22,556.35126
2023-08-21,23,478.35326
2023-08-21,24,346.35326
2023-08-22,1,103.02116
2023-08-22,2,106.00216
2023-08-22,3,221.98116
2023-08-22,4,106.00216
2023-08-22,5,238.98116
2023-08-22,6,308.00116
2023-08-22,7,308.00116
2023-08-22,8,308.00116
2023-08-22,9,308.00116
2023-08-22,10,308.00116
2023-08-22,11,308.00116
2023-08-22,12,329.00716
2023-08-22,13,308.00116
2023-08-22,14,308.00116
2023-08-22,15,329.00716
2023-08-22,16,773.00116
2023-08-22,17,487.00116
2023-08-22,18,308.00116
2023-08-22,19,487.00116
2023-08-22,20,799.00116
2023-08-22,21,329.00716
2023-08-22,22,308.00116
2023-08-22,23,308.00116
2023-08-22,24,308.00116
2023-08-23,1,103.02568
2023-08-23,2,103.02568
2023-08-23,3,106.79568
2023-08-23,4,103.02568
2023-08-23,5,107.02668
2023-08-23,6,197.82668
2023-08-23,7,197.82668
2023-08-23,8,197.82668
2023-08-23,9,197.82668
2023-08-23,10,197.82668
2023-08-23,11,206.82668
2023-08-23,12,206.82668
2023-08-23,13,206.82668
2023-08-23,14,206.82668
2023-08-23,15,238.80668
2023-08-23,16,437.82668
2023-08-23,17,415.38568
2023-08-23,18,197.82668
2023-08-23,19,437.82668
2023-08-23,20,437.82668
2023-08-23,21,437.82668
2023-08-23,22,437.82668
2023-08-23,23,197.82668
2023-08-23,24,197.82668
2023-08-24,1,101.48739
2023-08-24,2,101.48739
2023-08-24,3,101.48739
2023-08-24,4,101.48739
2023-08-24,5,104.19839
2023-08-24,6,104.19839
2023-08-24,7,104.19839
2023-08-24,8,191.46639
2023-08-24,9,191.46639
2023-08-24,10,191.46639
2023-08-24,11,191.46639
2023-08-24,12,191.46639
2023-08-24,13,191.46639
2023-08-24,14,191.46639
2023-08-24,15,220.44739
2023-08-24,16,191.46639
2023-08-24,17,191.46639
2023-08-24,18,191.46639
2023-08-24,19,276.46739
2023-08-24,20,771.46739
2023-08-24,21,276.46739
2023-08-24,22,220.44739
2023-08-24,23,191.46639
2023-08-24,24,191.46639
2023-08-25,1,100.5861
2023-08-25,2,100.5861
2023-08-25,3,100.5861
2023-08-25,4,100.5861
2023-08-25,5,100.5861
2023-08-25,6,100.5861
2023-08-25,7,100.5861
2023-08-25,8,103.2971
2023-08-25,9,103.2971
2023-08-25,10,106.2971
2023-08-25,11,184.5661
2023-08-25,12,184.5661
2023-08-25,13,184.5661
2023-08-25,14,184.5661
2023-08-25,15,257.7201
2023-08-25,16,257.7201
2023-08-25,17,184.5661
2023-08-25,18,184.5661
2023-08-25,19,219.5461
2023-08-25,20,795.5661
2023-08-25,21,795.5661
2023-08-25,22,184.5661
2023-08-25,23,103.2971
2023-08-25,24,103.2971
2023-08-26,1,175.99659
2023-08-26,2,175.99659
2023-08-26,3,175.99659
2023-08-26,4,101.72959
2023-08-26,5,101.72959
2023-08-26,6,104.03859
2023-08-26,7,175.99659
2023-08-26,8,175.99659
2023-08-26,9,175.99659
2023-08-26,10,175.99659
2023-08-26,11,257.99659
2023-08-26,12,257.99659
2023-08-26,13,257.99659
2023-08-26,14,257.99659
2023-08-26,15,256.15059
2023-08-26,16,257.99659
2023-08-26,17,256.15059
2023-08-26,18,175.99659
2023-08-26,19,741.99659
2023-08-26,20,741.99659
2023-08-26,21,257.99659
2023-08-26,22,257.99659
2023-08-26,23,175.99659
2023-08-26,24,175.99659
2023-08-27,1,205.99177
2023-08-27,2,105.86777
2023-08-27,3,102.72477
2023-08-27,4,102.72477
2023-08-27,5,102.72477
2023-08-27,6,102.72477
2023-08-27,7,102.69177
2023-08-27,8,102.72477
2023-08-27,9,102.72477
2023-08-27,10,105.72277
2023-08-27,11,205.99177
2023-08-27,12,205.99177
2023-08-27,13,205.99177
2023-08-27,14,205.99177
2023-08-27,15,205.99177
2023-08-27,16,205.99177
2023-08-27,17,205.99177
2023-08-27,18,205.99177
2023-08-27,19,254.99177
2023-08-27,20,358.99177
2023-08-27,21,358.99177
2023-08-27,22,205.99177
2023-08-27,23,205.99177
2023-08-27,24,205.99177
2023-08-28,1,253.63284
2023-08-28,2,294.61284
2023-08-28,3,253.63284
2023-08-28,4,253.63284
2023-08-28,5,253.63284
2023-08-28,6,302.63284
2023-08-28,7,302.63284
2023-08-28,8,302.63284
2023-08-28,9,302.63284
2023-08-28,10,302.63284
2023-08-28,11,357.63284
2023-08-28,12,357.63284
2023-08-28,13,357.63284
2023-08-28,14,385.92084
2023-08-28,15,485.63284
2023-08-28,16,485.63284
2023-08-28,17,485.63284
2023-08-28,18,357.63284
2023-08-28,19,484.63284
2023-08-28,20,485.63284
2023-08-28,21,485.63284
2023-08-28,22,484.63284
2023-08-28,23,357.63284
2023-08-28,24,302.63284
2023-08-29,1,506.39532
2023-08-29,2,506.39532
2023-08-29,3,506.39532
2023-08-29,4,506.39532
2023-08-29,5,506.39532
2023-08-29,6,497.41532
2023-08-29,7,497.41532
2023-08-29,8,506.39532
2023-08-29,9,506.39532
2023-08-29,10,506.39532
2023-08-29,11,583.41532
2023-08-29,12,596.73032
2023-08-29,13,603.41532
2023-08-29,14,603.41532
2023-08-29,15,603.41532
2023-08-29,16,604.41532
2023-08-29,17,604.41532
2023-08-29,18,603.41532
2023-08-29,19,605.41532
2023-08-29,20,605.41532
2023-08-29,21,605.41532
2023-08-29,22,603.41532
2023-08-29,23,603.41532
2023-08-29,24,506.39532
2023-08-30,1,752.26538
2023-08-30,2,752.26538
2023-08-30,3,747.26538
2023-08-30,4,733.26538
2023-08-30,5,733.26538
2023-08-30,6,752.26538
2023-08-30,7,752.26538
2023-08-30,8,767.26538
2023-08-30,9,752.26538
2023-08-30,10,752.26538
2023-08-30,11,752.26538
2023-08-30,12,767.26538
2023-08-30,13,752.26538
2023-08-30,14,752.26538
2023-08-30,15,752.26538
2023-08-30,16,767.26538
2023-08-30,17,752.26538
2023-08-30,18,752.26538
2023-08-30,19,752.26538
2023-08-30,20,752.26538
2023-08-30,21,752.26538
2023-08-30,22,752.26538
2023-08-30,23,752.26538
2023-08-30,24,747.26538
2023-08-31,1,797.55071
2023-08-31,2,772.55071
2023-08-31,3,772.55071
2023-08-31,4,772.55071
2023-08-31,5,772.55071
2023-08-31,6,797.55071
2023-08-31,7,797.55071
2023-08-31,8,797.55071
2023-08-31,9,797.55071
2023-08-31,10,797.55071
2023-08-31,11,817.55071
2023-08-31,12,817.55071
2023-08-31,13,817.55071
2023-08-31,14,817.55071
2023-08-31,15,817.55071
2023-08-31,16,817.55071
2023-08-31,17,817.55071
2023-08-31,18,817.55071
2023-08-31,19,817.55071
2023-08-31,20,817.55071
2023-08-31,21,817.55071
2023-08-31,22,817.55071
2023-08-31,23,817.55071
2023-08-31,24,797.55071
2023-09-01,1,815.87371
2023-09-01,2,815.87371
2023-09-01,3,815.87371
2023-09-01,4,815.87371
2023-09-01,5,815.87371
2023-09-01,6,815.87371
2023-09-01,7,815.87371
2023-09-01,8,815.87371
2023-09-01,9,838.87371
2023-09-01,10,838.87371
2023-09-01,11,849.37371
2023-09-01,12,849.37371
2023-09-01,13,849.37371
2023-09-01,14,849.37371
2023-09-01,15,849.37371
2023-09-01,16,868.87371
2023-09-01,17,849.37371
2023-09-01,18,849.37371
2023-09-01,19,849.37371
2023-09-01,20,868.87371
2023-09-01,21,849.37371
2023-09-01,22,849.37371
2023-09-01,23,849.37371
2023-09-01,24,838.87371
2023-09-02,1,900.98076
2023-09-02,2,873.98176
2023-09-02,3,873.98176
2023-09-02,4,873.98176
2023-09-02,5,873.98176
2023-09-02,6,873.98176
2023-09-02,7,873.98176
2023-09-02,8,873.98176
2023-09-02,9,900.98076
2023-09-02,10,900.98076
2023-09-02,11,900.98076
2023-09-02,12,900.98076
2023-09-02,13,900.98076
2023-09-02,14,900.98076
2023-09-02,15,900.98076
2023-09-02,16,900.98076
2023-09-02,17,900.98076
2023-09-02,18,900.98076
2023-09-02,19,917.98076
2023-09-02,20,917.98076
2023-09-02,21,900.98076
2023-09-02,22,900.98076
2023-09-02,23,900.98076
2023-09-02,24,873.98176
2023-09-03,1,920.06746
2023-09-03,2,920.06746
2023-09-03,3,920.06746
2023-09-03,4,920.06746
2023-09-03,5,920.06746
2023-09-03,6,920.06746
2023-09-03,7,860.06746
2023-09-03,8,920.06746
2023-09-03,9,920.06746
2023-09-03,10,920.06746
2023-09-03,11,920.06746
2023-09-03,12,920.06746
2023-09-03,13,920.06746
2023-09-03,14,920.06746
2023-09-03,15,920.06746
2023-09-03,16,920.06746
2023-09-03,17,970.06746
2023-09-03,18,970.06746
2023-09-03,19,977.06746
2023-09-03,20,977.06746
2023-09-03,21,977.06746
2023-09-03,22,977.06746
2023-09-03,23,970.06746
2023-09-03,24,920.06746
2023-09-04,1,976.98325
2023-09-04,2,892.68325
2023-09-04,3,892.68325
2023-09-04,4,885.98325
2023-09-04,5,892.68325
2023-09-04,6,976.98325
2023-09-04,7,976.98325
2023-09-04,8,977.48325
2023-09-04,9,977.48325
2023-09-04,10,977.48325
2023-09-04,11,977.48325
2023-09-04,12,981.98325
2023-09-04,13,981.98325
2023-09-04,14,981.98325
2023-09-04,15,981.98325
2023-09-04,16,981.98325
2023-09-04,17,981.98325
2023-09-04,18,981.98325
2023-09-04,19,981.98325
2023-09-04,20,981.98325
2023-09-04,21,981.98325
2023-09-04,22,981.98325
2023-09-04,23,981.98325
2023-09-04,24,977.48325
2023-09-05,1,981.11023
2023-09-05,2,977.11023
2023-09-05,3,977.11023
2023-09-05,4,893.81023
2023-09-05,5,977.11023
2023-09-05,6,981.11023
2023-09-05,7,981.11023
2023-09-05,8,981.11023
2023-09-05,9,985.31023
2023-09-05,10,985.31023
2023-09-05,11,985.31023
2023-09-05,12,985.31023
2023-09-05,13,985.31023
2023-09-05,14,985.31023
2023-09-05,15,985.31023
2023-09-05,16,985.31023
2023-09-05,17,985.31023
2023-09-05,18,985.31023
2023-09-05,19,987.11023
2023-09-05,20,987.11023
2023-09-05,21,985.31023
2023-09-05,22,985.31023
2023-09-05,23,985.31023
2023-09-05,24,981.11023
2023-09-06,1,895.92907
2023-09-06,2,747.92907
2023-09-06,3,747.92907
2023-09-06,4,747.92907
2023-09-06,5,747.92907
2023-09-06,6,895.92907
2023-09-06,7,895.92907
2023-09-06,8,985.02907
2023-09-06,9,985.02907
2023-09-06,10,985.02907
2023-09-06,11,992.92907
2023-09-06,12,992.92907
2023-09-06,13,992.92907
2023-09-06,14,992.92907
2023-09-06,15,992.92907
2023-09-06,16,992.92907
2023-09-06,17,992.92907
2023-09-06,18,992.92907
2023-09-06,19,992.92907
2023-09-06,20,992.92907
2023-09-06,21,992.92907
2023-09-06,22,992.92907
2023-09-06,23,992.92907
2023-09-06,24,985.02907
2023-09-07,1,1000.03002
2023-09-07,2,1000.03002
2023-09-07,3,996.53002
2023-09-07,4,996.53002
2023-09-07,5,996.53002
2023-09-07,6,1000.03002
2023-09-07,7,1000.03002
2023-09-07,8,1000.03002
2023-09-07,9,1000.03002
2023-09-07,10,1000.03002
2023-09-07,11,1002.03002
2023-09-07,12,1002.03002
2023-09-07,13,1002.03002
2023-09-07,14,1007.03002
2023-09-07,15,1007.03002
2023-09-07,16,1007.03002
2023-09-07,17,1007.03002
2023-09-07,18,1007.03002
2023-09-07,19,1007.03002
2023-09-07,20,1007.03002
2023-09-07,21,1007.03002
2023-09-07,22,1002.03002
2023-09-07,23,1000.03002
2023-09-07,24,1000.03002
2023-09-08,1,1017.98325
2023-09-08,2,1017.98325
2023-09-08,3,1017.98325
2023-09-08,4,1017.98325
2023-09-08,5,1017.98325
2023-09-08,6,1017.98325
2023-09-08,7,1018.28325
2023-09-08,8,1018.28325
2023-09-08,9,1018.98325
2023-09-08,10,1018.98325
2023-09-08,11,1019.98325
2023-09-08,12,1021.98325
2023-09-08,13,1021.98325
2023-09-08,14,1021.98325
2023-09-08,15,1021.98325
2023-09-08,16,1021.98325
2023-09-08,17,1021.98325
2023-09-08,18,1021.98325
2023-09-08,19,1021.98325
2023-09-08,20,1021.98325
2023-09-08,21,1021.98325
2023-09-08,22,1019.98325
2023-09-08,23,1018.98325
2023-09-08,24,1018.43325
2023-09-09,1,1041.98325
2023-09-09,2,1032.98325
2023-09-09,3,1031.98325
2023-09-09,4,1031.98325
2023-09-09,5,1031.98325
2023-09-09,6,1031.98325
2023-09-09,7,1032.98325
2023-09-09,8,1046.98325
2023-09-09,9,1046.98325
2023-09-09,10,1046.98325
2023-09-09,11,1046.98325
2023-09-09,12,1046.98325
2023-09-09,13,1046.98325
2023-09-09,14,1046.98325
2023-09-09,15,1046.98325
2023-09-09,16,1046.98325
2023-09-09,17,1046.98325
2023-09-09,18,1046.98325
2023-09-09,19,1046.98325
2023-09-09,20,1046.98325
2023-09-09,21,1046.98325
2023-09-09,22,1046.98325
2023-09-09,23,1041.98325
2023-09-09,24,1031.98325
2023-09-10,1,1051.98325
2023-09-10,2,1044.98325
2023-09-10,3,1018.06325
2023-09-10,4,1018.06325
2023-09-10,5,1018.06325
2023-09-10,6,1018.06325
2023-09-10,7,1018.06325
2023-09-10,8,1018.06325
2023-09-10,9,1018.06325
2023-09-10,10,1018.06325
2023-09-10,11,1044.98325
2023-09-10,12,1051.98325
2023-09-10,13,1051.98325
2023-09-10,14,1051.98325
2023-09-10,15,1051.98325
2023-09-10,16,1051.98325
2023-09-10,17,1051.98325
2023-09-10,18,1051.98325
2023-09-10,19,1051.98325
2023-09-10,20,1051.98325
2023-09-10,21,1051.98325
2023-09-10,22,1051.98325
2023-09-10,23,1051.98325
2023-09-10,24,1051.98325
2023-09-11,1,1054.98325
